KMH,RPM,Gear
0,1157,0
0,1153,0
0,1151,0
0,1147,0
0,1149,0
0,1138,0
0,1142,0
0,1146,0
0,1152,0
0,1157,0
0,1146,0
0,1152,0
0,1149,0
0,1156,0
0,1165,0
0,1160,0
0,1162,0
0,1157,0
0,1164,0
0,1166,0
0,1162,0
0,1161,0
0,1156,0
0,1163,0
0,1163,0
0,1161,0
0,1160,0
0,1157,0
0,1164,0
0,1166,0
0,1168,0
0,1162,0
0,1162,0
0,1170,0
0,1172,0
0,1178,0
0,1169,0
0,1169,0
0,1170,0
0,1169,0
0,1175,0
0,1162,0
0,1166,0
0,1166,0
0,1169,0
0,1175,0
0,1159,0
0,1157,0
0,1162,0
0,1165,0
0,1166,0
0,1155,0
0,1160,0
0,1163,0
0,1169,0
0,1174,0
0,1166,0
0,1170,0
0,1169,0
0,1174,0
0,1176,0
0,1171,0
0,1177,0
0,1170,0
0,1175,0
0,1177,0
0,1172,0
0,1175,0
0,1172,0
0,1179,0
0,1177,0
0,1171,0
0,1168,0
0,1164,0
0,1170,0
0,1167,0
0,1164,0
0,1163,0
0,1161,0
0,1167,0
0,1166,0
0,1167,0
0,1163,0
0,1164,0
0,1174,0
0,1177,0
0,1183,0
0,1178,0
0,1181,0
0,1183,0
0,1184,0
0,1192,0
0,1182,0
0,1184,0
0,1189,0
0,1191,0
0,1198,0
0,1185,0
0,1184,0
0,1183,0
0,1182,0
0,1187,0
0,1175,0
0,1177,0
0,1176,0
0,1177,0
0,1182,0
0,1173,0
0,1178,0
0,1179,0
0,1183,0
0,1188,0
0,1173,0
0,1176,0
0,1177,0
0,1179,0
0,1182,0
0,1170,0
0,1177,0
0,1173,0
0,1174,0
0,1178,0
0,1168,0
0,1173,0
0,1172,0
0,1175,0
0,1175,0
0,1163,0
0,1166,0
0,1161,0
0,1165,0
0,1169,0
0,1162,0
0,1162,0
0,1159,0
0,1167,0
0,1170,0
0,1167,0
0,1173,0
0,1170,0
0,1178,0
0,1173,0
0,1169,0
0,1169,0
0,1167,0
0,1173,0
0,1175,0
0,1177,0
0,1172,0
0,1170,0
0,1175,0
0,1175,0
0,1178,0
0,1168,0
0,1167,0
0,1172,0
0,1170,0
0,1173,0
0,1162,0
0,1163,0
0,1172,0
0,1173,0
0,1178,0
0,1168,0
0,1172,0
0,1173,0
0,1177,0
0,1183,0
0,1170,0
0,1172,0
0,1168,0
0,1170,0
0,1177,0
0,1164,0
0,1169,0
0,1167,0
